year   IAGA     geolat      geolon    declination
1998   ISK       41.07       29.06        3.83
1998   KAK       36.23      140.18      352.87
1998   KOU        5.21      307.27      342.53
1998   LNP       25.00      121.17      356.60
1998   MBO       14.38      343.03      350.29
1998   MMB       43.91      144.19      350.87
1998   NCK       47.63       16.72        2.22
1998   MZH       49.60      117.40      351.39
1998   PAF      -49.35       70.26      304.33
1998   PHU       21.03      105.95      359.12
1998   PPT      -17.57      210.42       12.56
1998   SBA      -77.85      166.78      145.25
1998   SJG       18.11      293.85      347.90
1998   SPT       39.55      355.65      356.55
1998   SUA       45.32       26.25        3.98
1998   TAM       22.79        5.53      358.93
1998   TAN      -18.92       47.55      345.23
1998   TUC       32.17      249.27       11.66
1998   VSS      -22.40      316.35      339.11
1998   KIV       50.72       30.30        5.74
1998   LNN       59.95       30.70        8.45
1998   NKK       45.77       62.12        7.21
1998   MNK       54.50       27.88        6.00
1998   ODE       46.78       30.88        5.01
1998   TUL       35.92      264.22        4.86
1998   ASH       37.95       58.10        4.15
1998   TOL       39.88      355.95      356.62
1998   NVS       55.03       82.90        9.38
1998   KGD       49.82       73.08        8.60
1998   AAA       43.25       76.92        4.90
1998   TKT       41.33       69.62        4.82
1998   LVV       49.90       23.75        4.10
1998   RSV       55.85       12.45        0.97
1998   MOS       55.48       37.31        8.90
1998   YSS       46.95      142.72      349.54
1998   HIS       80.62       58.05       33.02
1998   ZGN       66.75      123.26      344.49
1998   YAK       60.02      129.72      344.59
1998   PPI       42.98      131.73      350.11
1998   BJI       40.06      116.18      354.13
1998   BOX       58.03       38.97       10.45
1998   MUT       14.37      121.02      358.94
1998   PTN       -0.05      109.25        0.78
1998   WTK       -7.56      112.63        1.27
1998   LRM      -21.00      115.00        0.62
1998   KAT      -33.68      117.62      357.83
1998   KTN       75.94      137.71      344.83
1998   CHD       70.62      147.89      346.22
1998   ZYK       65.75      150.78      347.67
1998   MGD       59.97      150.86      348.55
1998   MSR       44.37      142.27      350.32
1998   ONW       38.43      141.47      352.27
1998   KAG       31.48      130.72      353.99
1998   YMK       31.19      130.62      354.08
1998   CBI       27.15      142.30      356.51
1998   YAP        9.30      138.50        1.34
1998   KOR        7.33      134.50        1.13
1998   BIK       -1.08      136.05        2.96
1998   WEW       -3.55      143.62        4.87
1998   DRW      -12.40      130.90        3.48
1998   WEP      -12.68      141.88        5.74
1998   BSV      -25.54      139.21        6.85
1998   DAL      -27.18      151.20       10.69
1998   ADL      -34.67      138.65        8.15
1998   CPS       68.88      180.63        6.75
1998   EWA       21.32      202.00       10.27
1998   ASA      -14.28      170.70       11.37
1998   MCQ      -54.50      158.95       31.65
1998   CKA       68.50       73.60       24.56
1998   AMD       69.60       61.21       25.03
1998   LOP       68.25       33.08       12.60
1998   MBC       76.32      240.64       48.29
1998   VIZ       79.30       76.54       39.13
1998   PBK       70.08      170.90        0.01
1998   PGC       66.10      294.20      318.99
1998   CY0       70.50      291.40      310.19
1998   CDC       64.20      283.40      326.30
1998   CHC       64.35      276.00      334.43
1998   GHC       68.63      264.15      352.31
1998   IGC       69.30      278.20      317.92
1998   PBC       68.50      270.30      334.53
1998   RPB       66.52      273.77      332.98
1998   NAN       56.40      298.30      331.46
1998   AIA      -65.25      295.74       17.01
1998   ASC       -7.95      345.62      342.42
1998   VOS      -78.45      106.87      239.18
1998   CSY      -66.28      110.53      260.81
1998   CTA      -20.10      146.30        7.87
1998   DVS      -68.58       77.97      281.67
1998   GLN       49.65      262.88        5.38
1998   HTY       33.12      139.80      353.94
1998   KDU      -12.69      132.47        3.78
1998   KNY       31.42      130.88      354.00
1998   MAW      -67.61       62.88      294.08
1998   MIR      -66.55       93.02      273.13
1998   PST      -51.70      302.11        4.31
1998   TSU      -19.22       17.70      348.92
1998   HUA      -12.05      284.67      359.83
1998   LIV      -62.66      299.61       12.96
1998   TRW      -43.25      294.68        5.19
1998   AQU       42.38       13.32        1.31
1998   MID       28.21      182.62        8.62
1998   LMM      -25.92       32.58      341.87
1998   LZH       36.09      103.85      358.41
1998   QSB       33.87       35.64        3.49
1998   TND        1.29      124.95        1.23
1998   EBR       40.82        0.49      358.03
1998   TEO       19.75      260.82        6.68
1998   LEM      -42.30      147.50       14.68
1998   RIK       43.48      143.76      350.92
1998   CLK       44.70      285.00      345.47
1998   APL       39.17      283.12      349.16
1998   DSO       36.25      278.60      353.60
1998   USC       33.34      278.54      354.39
1998   JAX       30.35      278.40      355.18
1998   FIT       28.07      279.05      355.20
1998   GTF       43.62      288.05      343.96
1998   MSH       42.60      288.52      344.15
1998   FAR       62.05      352.98      350.30
1998   BOR       58.03       38.33       10.26
1998   CRK       57.09      357.36      354.17
1998   GML       57.16      356.32      353.65
1998   HLL       63.77      339.44      341.46
1998   KVI       59.50       17.63        3.14
1998   LAN       54.01      357.23      354.88
1998   S01       64.37       13.36        1.24
1998   OUL       65.10       25.85        7.85
1998   YOR       53.95      358.95      355.65
1998   PUT      -18.33      290.50      357.20
1998   ANT      -23.39      289.76      359.66
1998   SER      -30.00      288.87        3.33
1998   CER      -33.45      289.40        4.57
1998   VLD      -39.48      286.86        9.76
1998   OSO      -40.34      286.91       10.16
1998   PNT      -53.20      289.10       14.83
1998   ESC      -62.18      301.08       11.71
1998   OHI      -63.32      302.10       11.79
1998   PAC      -40.34      289.91        7.71
1998   ENP      -52.13      289.10       14.31
1998   FSJ       56.25      238.15       23.62
1998   EDM       53.30      246.70       18.72
1998   FVE       58.37      243.98       22.98
1998   LET       49.64      247.13       16.98
1998   RED       52.14      246.16       18.46
1998   ROT       51.07      245.87       18.13
1998   SAS       52.80      253.60       14.08
1998   VLO       48.19      282.24      345.77
1998   MCM      -77.85      166.67      145.43
1998   SPA      -90.00        0.00      331.85
1998   ELT       29.67       34.95        3.04
1998   GZH       23.09      113.34      358.05
1998   MLT       29.52       30.89        2.81
1998   PAL      -64.77      295.95       16.58
1998   NOK       69.40       88.10       19.46
1998   HLM       61.24      210.13       22.69
1998   HOM       59.70      209.53       21.79
1998   TRP       62.67      150.24      347.81
1998   BGY       31.72       35.09        3.23
1998   ESA       39.24      141.36      351.96
1998   GCK       44.63       20.77        2.92
1998   KNZ       55.83       48.85       11.69
1998   MIZ       39.11      141.20      351.99
1998   SFS       36.67      354.06      356.19
1998   SHU       55.35      199.54       15.96
1998   BFO       48.33        8.33      359.91
1998   MSK       52.69       34.52        7.23
1998   B11      -77.51      336.58      356.76
1998   B12      -79.08      335.88      357.39
1998   B14      -80.89      337.74      356.01
1998   B15      -81.49        2.97      335.63
1998   B17      -82.90      347.76      347.63
1998   B18      -84.35      336.14      357.07
1998   B19      -85.36        2.06      334.05
1998   B20      -85.36       95.98      242.30
1998   B21      -87.00       28.41      307.94
1998   B22      -86.51       68.17      269.63
1998   B23      -88.03      316.13       15.18
1998   B03      -67.57      291.88       20.92
1998   M01       46.87      263.55        4.94
1998   M02       45.56      266.75        2.07
1998   M03       43.60      264.40        4.41
1998   M04       41.36      263.84        4.98
1998   M05       38.50      263.70        5.17
1998   M06       35.00      262.60        5.93
1998   M07       32.98      263.25        5.52
1998   M08       29.44      261.39        6.52
1998   M09       26.40      262.20        6.07
1998   M10       24.80      260.40        6.87
1998   M11       20.70      256.90        8.01
1998   B01      -64.82      296.52       16.25
1998   B02      -66.03      294.00       18.60
1998   B04      -68.58       41.08      310.69
1998   B05      -69.29       41.32      310.23
1998   B06      -69.67       39.40      311.62
1998   B07      -70.70       44.28      307.25
1998   B08      -72.77      159.03      138.19
1998   B09      -74.01       42.99      306.62
1998   B10      -77.32       39.71      307.31
1998   B24      -71.67       77.77      278.61
1998   B13      -80.00       77.00      269.86
1998   B16      -82.78      347.06      348.25
1998   B27      -81.00        3.00      335.85
1998   KTB       -0.20      100.32      359.63
1998   JCO       70.36      211.20       28.09
1998   SBL       43.93      299.99      339.44
1998   C02       57.71      265.79      359.92
1998   C13       51.88      239.97       20.64
1998   T03       50.37      247.02       17.31
1998   C03       58.77      248.89       20.25
1998   C04       50.06      251.74       14.61
1998   C05       52.03      264.54        3.30
1998   C06       53.35      247.03       18.58
1998   C07       65.26      233.31       31.54
1998   C10       47.66      245.79       16.84
1998   C08       45.87      264.92        3.76
1998   C09       54.93      264.71        2.44
1998   C11       48.03      263.64        4.77
1998   C12       49.69      256.20       11.38
1998   C01       42.42      276.10      353.93
1998   T15       46.48      275.31      353.21
1998   T16       39.19      240.20       15.63
1998   T17       44.95      287.87      343.43
1998   T18       46.09      259.32        8.55
1998   T19       47.61      245.33       17.00
1998   T20       40.18      281.62      349.96
1998   T21       43.08      257.41        9.67
1998   T22       56.81      227.05       24.82
1998   T23       43.66      274.86      354.68
1998   T24       44.82      271.30      357.79
1998   T25       45.14      241.07       17.43
1998   T26       34.20      242.15       13.83
1998   T27       34.38      242.32       13.85
1998   T28       53.30      299.54      334.02
1998   T29       58.10      291.60      331.14
1998   T30       49.81      285.58      342.10
1998   T31       56.50      280.80      340.45
1998   T32       49.39      277.68      349.38
1998   T33       53.99      259.06        9.27
1998   T34       64.73      249.33       24.21
1998   T35       63.60      249.14       23.43
1998   T36       54.71      246.69       19.42
1998   T37       53.81      237.17       22.36
1998   T38       61.01      224.78       27.22
1998   T39       62.24      209.58       22.89
1998   T40       62.95      204.40       20.61
1998   T41       66.97      199.56       19.25
1998   T42       55.20      254.74       13.78
1998   T43       50.87      245.70       18.12
1998   IZN       40.50       29.73        3.84
1998   PAG       47.49       24.18        3.88
1998   HOR       77.00       15.60        2.67
1998   SAH       71.98      234.77       39.61
1998   E01       41.35       23.86        3.15
1998   E02       39.45       21.97        2.70
1998   E03       38.63       24.10        2.93
1998   E04       38.08       23.93        2.86
1998   E05       36.72       22.95        2.62
1998   BRD       49.87      260.03        8.13
1998   EUA       80.00      274.10      273.92
1998   ARS       56.43       58.57       13.43
1998   CKI      -12.19       96.84      356.87
1998   CNH       44.08      124.86      350.67
1998   CYG       36.37      126.85      352.72
1998   DLT       11.94      108.48      359.84
1998   DUR       41.39       14.28        1.49
1998   GAN        0.69       73.15      355.30
1998   JAI       26.92       75.80        0.33
1998   KHB       47.61      134.69      348.46
1998   ORC      -60.74      315.26        2.13
1998   PEG       38.10       23.90        2.86
1998   PET       52.97      158.25      353.35
1998   PIL      -31.40      294.47      359.03
1998   WMQ       43.81       87.71        3.18
1998   PG1      -85.50       77.20      261.97
1998   PG2      -84.42       57.96      283.01
1998   PG3      -84.81       37.63      302.03
1998   PG4      -83.34       12.25      326.56
1998   GNG      -31.36      115.71      357.83
1998   BRZ       56.21       24.75        5.39
1998   SUW       54.01       23.18        4.53
1998   SZC       52.91       19.61        3.33
1998   ZAG       50.28       20.58        3.36
1998   VYH       48.49       18.84        2.78
1998   WIC       47.55       15.52        1.92
1998   CST       46.05       11.65        0.93
1998   P01       45.41       16.66        2.12
1998   RNC       43.97       12.08        1.05
1998   SUT      -32.40       20.67      337.19
1998   A01        8.99        7.39      357.31
1998   A02       36.85        2.93      358.90
1998   A03        3.87       11.52      357.11
1998   A04       14.28       39.46        1.82
1998   A05      -19.20       17.58      348.89
1998   A06        5.33      355.87      353.10
1998   A07        9.58      346.34      350.55
1998   A08        7.00      125.40        0.33
1998   A09       14.58      120.00      358.94
1998   A10       -9.40      319.50      337.78
1998   A11       -1.45      311.55      340.67
1998   A12       14.08      100.61      359.61
1998   A13        7.89       98.35      359.51
1998   GRK       60.27       29.38        8.05
1998   BBG       78.06       14.21        1.49
1998   PRG      -69.23       76.23      282.39
1998   NVL      -70.78       11.83      332.57
1998   WHS       60.70      224.90       27.04
1998   T44       58.47      281.92      337.00
1998   T45       55.28      282.24      340.32
1998   T46       60.05      282.71      334.08
1998   T47       62.20      284.35      329.29
1998   T48       54.80      293.19      334.01
1998   T49       50.22      293.73      337.48
1998   T50       48.65      287.55      341.53
1998   T51       48.05      282.22      345.88
1998   T52       53.79      282.38      341.59
1998   T53       60.82      281.85      333.72
1998   VNA      -70.70      351.70      346.24
1998   CUL      -30.28      149.58       11.07
1998   HOB      -42.88      147.35       14.87
1998   TWN      -19.27      146.82        7.86
1998   AMA       28.17      129.33      355.07
1998   ANC      -11.77      282.85        1.03
1998   ASB       43.46      142.17      350.62
1998   ASW       23.50       32.51        2.48
1998   BCL        9.30      105.71        0.02
1998   BKL       -3.86      102.31      359.83
1998   CDO        8.40      124.63        0.05
1998   CEB       10.36      123.91      359.67
1998   CKT      -15.48      145.25        6.89
1998   CMD      -34.06      150.67       12.63
1998   DES       -6.46       39.12      357.91
1998   DRB      -29.48       30.56      337.84
1998   EUS       -3.88      321.57      338.36
1998   FYM       29.18       35.50        3.01
1998   GSI        1.18       97.34      359.15
1998   HLN       23.90      121.55      356.82
1998   HVD       48.01       91.67        3.14
1998   ICA      -14.08      284.25        0.71
1998   ILR        8.50        4.68      356.59
